number,value,state,params_batch_size,params_dense_units,params_dropout_1,params_dropout_2,params_dropout_3,params_filters_1,params_filters_2,params_kernel_1,params_kernel_2,params_lr,datetime_start,datetime_complete
14,0.7491428256034851,COMPLETE,128,512,0.3211408194299255,0.48452240373834127,0.3001892889566911,512,512,7,4,0.0058554390353111755,2025-10-15 11:37:58.492446,2025-10-15 11:39:09.262525
15,0.7497142553329468,COMPLETE,64,512,0.4711253771374775,0.49615743334429807,0.3737237144453758,512,512,6,4,0.002370183833070166,2025-10-15 11:39:01.315316,2025-10-15 11:40:28.965850
16,0.7765713930130005,COMPLETE,128,1024,0.3468269844992935,0.4744960792585703,0.3902557442176406,512,512,6,6,0.0008352017332535949,2025-10-15 11:39:08.270081,2025-10-15 11:41:39.368057
17,0.7765713930130005,COMPLETE,128,1024,0.3549764941964392,0.30348404921260175,0.3969227911636542,512,512,6,6,0.0006708938523426269,2025-10-15 11:39:09.415237,2025-10-15 11:41:53.037036
18,0.5708571076393127,COMPLETE,128,1024,0.4723240646837056,0.45030700436028437,0.39882354573957757,256,256,4,3,1.64767587006547e-05,2025-10-15 11:40:28.632344,2025-10-15 11:41:09.056387
19,0.8045714497566223,COMPLETE,128,1024,0.34968994137547493,0.4390918373501243,0.41017036694872877,256,256,4,3,2.019184498717326e-05,2025-10-15 11:40:29.094576,2025-10-15 11:42:33.898214
20,0.7679999470710754,COMPLETE,32,1024,0.3631170556734362,0.5140172610312919,0.4133782682004045,256,512,4,6,0.0007947415691826713,2025-10-15 11:41:09.156089,2025-10-15 11:42:05.682927
21,0.7497142553329468,COMPLETE,32,1024,0.3592670800307465,0.5145611311531523,0.42575815590879507,256,1024,4,5,4.7347067493599996e-05,2025-10-15 11:41:39.446277,2025-10-15 11:44:28.680626
22,0.6971428394317627,COMPLETE,32,1024,0.30886618509771757,0.5098747041009933,0.43584394482992506,256,256,4,5,3.579927701205901e-05,2025-10-15 11:41:53.104700,2025-10-15 11:43:42.707000
23,0.7177143096923828,COMPLETE,32,512,0.3030572444056794,0.44176693525655053,0.357453363953713,256,1024,3,5,1.0770519423259182e-05,2025-10-15 11:42:05.757892,2025-10-15 11:46:51.645994
24,0.7914285659790039,COMPLETE,128,1024,0.3049695359325937,0.4405108876364596,0.3526763231462981,256,256,3,3,2.981803591513024e-05,2025-10-15 11:42:34.050106,2025-10-15 11:44:37.907953
25,0.705714225769043,COMPLETE,128,1024,0.33488645382440013,0.43020984388719175,0.3572661692764969,256,256,3,3,1.0470195723633098e-05,2025-10-15 11:43:42.809728,2025-10-15 11:45:47.363033
26,0.7651429176330566,COMPLETE,128,1024,0.3305623268971439,0.5970941160548234,0.35312164599321905,256,256,3,3,1.499897945714129e-05,2025-10-15 11:44:28.760591,2025-10-15 11:46:29.694446
27,0.6868571043014526,COMPLETE,128,1024,0.33534023136455005,0.44493688571643125,0.3582500033520606,256,256,3,3,1.032943515071022e-05,2025-10-15 11:44:38.039683,2025-10-15 11:46:44.544356
28,0.6902857422828674,COMPLETE,128,1024,0.3839266318464605,0.4544041875126555,0.45848120039152984,256,256,3,3,2.5706185703236735e-05,2025-10-15 11:45:47.432005,2025-10-15 11:47:53.747894
29,0.7588571310043335,COMPLETE,128,1024,0.44495630655275314,0.45850588910145396,0.4554930469907339,256,256,3,3,2.648473888707656e-05,2025-10-15 11:46:29.755505,2025-10-15 11:48:27.525738
30,0.663428544998169,COMPLETE,128,1024,0.3908381528941583,0.4114236821886258,0.41480358687406393,256,256,3,3,3.225750329445403e-05,2025-10-15 11:46:44.612258,2025-10-15 11:48:45.658061
31,0.7559999227523804,COMPLETE,128,1024,0.378387023869703,0.40979844876997296,0.45637242684926926,256,256,4,3,0.00010385816859539713,2025-10-15 11:46:51.779940,2025-10-15 11:48:31.309194
32,0.7582857012748718,COMPLETE,128,2048,0.44396992865913265,0.40201636784307243,0.3267726564508837,256,256,4,3,0.00011536620434661802,2025-10-15 11:47:53.813411,2025-10-15 11:49:16.357906
33,0.7582857012748718,COMPLETE,128,2048,0.3847646286765401,0.39790766606920985,0.5423543305000993,256,256,4,4,8.592655106578078e-05,2025-10-15 11:48:27.599573,2025-10-15 11:50:20.205013
34,0.7657142877578735,COMPLETE,128,2048,0.30579759532011574,0.4199002843029753,0.3232868672832784,256,256,5,4,0.00023106680322828154,2025-10-15 11:48:31.457607,2025-10-15 11:49:47.699470
35,0.7765713930130005,COMPLETE,128,2048,0.32029372050839194,0.42490068294160505,0.33434421139595094,256,1024,4,4,0.0019369442708157987,2025-10-15 11:48:45.896216,2025-10-15 11:50:09.167109
36,0.7560000419616699,COMPLETE,128,512,0.3214978544946848,0.4247007272954352,0.378195529448137,256,1024,5,4,0.00029601615949760714,2025-10-15 11:49:16.418026,2025-10-15 11:51:45.594541
37,0.7765713930130005,COMPLETE,64,512,0.3254814856760935,0.36807208220281046,0.37429447303023283,128,1024,4,4,0.0022464510419339333,2025-10-15 11:49:47.733086,2025-10-15 11:50:42.865861
38,0.7411429286003113,COMPLETE,64,512,0.5281629963676348,0.3846195748177473,0.38903953423406695,128,512,5,4,0.00020869277441441585,2025-10-15 11:50:09.264251,2025-10-15 11:51:05.255045
39,0.7268571853637695,COMPLETE,32,512,0.5794939773037292,0.3793273684162906,0.37713838562009244,128,512,5,4,0.00018034435535060127,2025-10-15 11:50:20.252364,2025-10-15 11:51:10.383244
40,0.7594285607337952,COMPLETE,32,512,0.5943515628563191,0.3768591097049383,0.47730521141387805,128,512,5,4,0.0012857780659701755,2025-10-15 11:50:42.976001,2025-10-15 11:51:17.285312
41,0.7679999470710754,COMPLETE,32,512,0.3398509320714997,0.46906267178874755,0.48104717205707265,512,512,5,4,0.0012278142520168057,2025-10-15 11:51:05.321249,2025-10-15 11:52:17.444356
42,0.7497142553329468,COMPLETE,32,1024,0.3442062038837109,0.4341446286100568,0.47706124384121784,512,512,5,3,5.843882908642442e-05,2025-10-15 11:51:10.534702,2025-10-15 11:53:29.464147
43,0.7668571472167969,COMPLETE,32,1024,0.3460679566087963,0.4343338469823498,0.47905686408011056,512,512,3,5,4.9212634492236355e-05,2025-10-15 11:51:17.362156,2025-10-15 11:55:10.297597
44,0.7937143445014954,COMPLETE,128,1024,0.3469166348436538,0.4743245613015656,0.4079566391931712,512,512,6,6,0.0004333013053222575,2025-10-15 11:51:45.644564,2025-10-15 11:54:52.273915
45,0.7765713930130005,COMPLETE,128,1024,0.350597934264344,0.46660119004268186,0.4156964603084167,512,512,6,6,0.0005003428701362213,2025-10-15 11:52:17.503343,2025-10-15 11:55:01.935403
46,0.7634285092353821,COMPLETE,128,1024,0.3509736140052905,0.5308178410458172,0.41108894919331335,512,512,6,6,0.0004621748430769657,2025-10-15 11:53:29.530389,2025-10-15 11:56:41.424101
47,0.7679999470710754,COMPLETE,128,1024,0.36657631308564853,0.5355164767629544,0.5996739755334933,512,512,6,7,0.00038590932555267865,2025-10-15 11:54:52.382586,2025-10-15 11:57:07.625416
48,0.6960000395774841,COMPLETE,128,1024,0.4026953439021289,0.5318525835366323,0.4398421912510275,512,512,3,5,1.979187550954565e-05,2025-10-15 11:55:02.008878,2025-10-15 12:01:33.541500
49,0.7582857012748718,COMPLETE,128,1024,0.40443728459305817,0.5358368360964537,0.4400672060384444,512,512,6,6,1.9483812681030693e-05,2025-10-15 11:55:10.416109,2025-10-15 12:02:03.851676
